geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
afg,Afghanistan,,,,,,,,,,,,0.00472,0.00456,0.08789,0.10581,1.22415,2.10712,1.9,1.84,3.55,4,5,5.4545,5.9,7,8.26,11,13.5,16.8,17.6,17.0485,16.5143,15.8663,15.9284,16.095,
ago,Angola,,,,,,,0.00078,0.00567,0.0185,0.072,0.10505,0.13601,0.27038,0.37068,0.46481,1.1434,1.5,1.7,1.9,2.3,2.8,4.7,7.7,13,21.36234,22,23.2,26,29,32.1294,33.3209,34.5565,35.838,37.8859,40.7048,
alb,Albania,,,,,,0.0112,0.0322,0.0486,0.065,0.0814,0.1141,0.3258,0.39008,0.9719,2.42039,6.04389,9.61,15.0361,23.86,41.2,45,47,49.4,51.8,54.3,56.9,59.6,62.4,65.4,68.55039,72.23768,79.32372,82.61368,83.13559,85.8639,
and,Andorra,,,,,,,1.53,3.05,6.89,7.64,10.53884,,11.26047,13.54641,26.83795,37.60577,48.93685,70.87,70.04,78.53,81,81,82.7,84.4,86.1,87.9,89.7,91.56747,93.5,90.7187,93.2057,93.8975,94.0517,94.215,94.3976,
are,UAE,,,,,,0.103,0.375,3.3,6.91,14.9,23.6253,26.27175,28.31649,29.47795,30.1313,40,52,61,63,64,68,78,84.99999,88,90.40001,90.5,90.60001,94.81992,98.45,99.15,100,100,100,100,100,
arg,Argentina,,,0.00299,0.0295,0.0437,0.0863,0.142,0.28,0.831,3.28,7.03868,9.78081,10.88212,11.9137,16.03668,17.72058,20.9272,25.94663,28.11262,34,45,51,55.8,59.9,64.7,68.04306,70.96898,74.29491,77.7,79.94695,85.51439,87.15071,88.37536,89.22897,89.66715,
arm,Armenia,,,,,0.00912,0.0527,0.0946,0.112,0.129,0.971,1.30047,1.63109,1.96041,4.57522,4.89901,5.253,5.6318,6.0213,6.21,15.3,25,32,37.5,41.9,54.62281,59.10083,64.34603,64.74488,68.24505,66.54395,76.5077,78.61226,77.02767,79.99663,81.3393,
atg,Antigua and Barbuda,,,,,,2.2,2.86,3.48,4.07,5.3,6.48223,8.89929,12.5,17.22865,24.26654,27,30,34,38,42,47,52,58,63.4,67.78,70,70.2716,70.5442,70.8179,71.0926,71.3684,71.6453,71.9233,72.1241,72.7304,
aus,Australia,0.585,1.1,1.77,1.97,2.23,2.76,3.28,16.4,30.8,40.8,46.75612,52.68927,,,,63,66,69.45,71.67,74.25,76,79.4877,79,83.4535,84,84.56051,86.54,86.54505,90.0082,93.6099,94.6935,96.9722,96.1194,96.1161,96.1314,
aut,Austria,0.13,0.259,0.643,0.765,1.39,1.89,6.91,9.53,15.4,23,33.73013,39.18545,36.56,42.7,54.28,58,63.6,69.37,72.87,73.45,75.17,78.73999,80.02999,80.6188,80.99582,83.94014,84.32374,87.93559,87.47914,87.7522,87.52943,92.52915,93.61409,95.33467,94.91975,91.92573
aze,Azerbaijan,,,,,0.00143,0.00206,0.00635,0.0252,0.0375,0.0992,0.14776,0.30556,4.99971,,,8.0304,11.9922,14.54,17.08,27.4,46,50,54.2,73,75.00002,77,78.2,79,79.8,81.1,84.6,85.99999,88,89,90.4398,90.8
bdi,Burundi,,,,,,,0.0008,0.00798,0.0158,0.0392,0.07725,0.106,0.11823,0.20127,0.34906,0.5421,0.6576,0.7,0.81,0.9,1,1.11,1.22,1.26422,1.04239,2,2.2,2.66075,4.0195,6.0722,6.4301,6.778,7.1448,7.1723,8.596,
bel,Belgium,0.00101,0.0201,0.1,0.199,0.696,0.992,2.97,4.94,7.89,13.8,29.43169,31.2884,46.33,49.97,53.86,55.82,61.98187,66.76042,68.85732,74.54415,77.63979,81.61,80.71999,82.1702,85.00124,85.05294,86.51648,87.67968,88.64734,90.27543,91.52642,92.78868,94.00783,94.62625,95.77579,
ben,Benin,,,,,,,0.00169,0.0246,0.0479,0.155,0.22525,0.36342,0.70295,0.95133,1.18254,1.271,1.5379,1.79,1.85,2.24,3.13,4.14832,4.5,4.9,6,11.255,14.5,18.7,19,20.501,22.1206,28.2047,30.5373,32.394,33.9838,
bfa,Burkina Faso,,,,,,,0.00096,0.0187,0.0454,0.0618,0.07708,0.15773,0.20099,0.37344,0.4003,0.4699,0.6327,0.75,0.92,1.13,2.4,3,3.725,5,6,6.5457,7.141,7.7904,8.4989,9.27181,12.9732,18.1522,25.3988,25.3612,28.2527,
